name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
TO BE WITH YOU-3Key(原曲歌手: Mr.Big),TO BE WITH YOU(ガイド無しカラオケ)[原曲歌手:Mr.Big],歌っちゃ王,2023-06-29,205040,0,0.196,0.676,0.269,0.869,0.0749,-13.542,0.0444,82.97,4
Addicted To That Rush - 2009 Remastered Version,Mr. Big [Expanded],Mr. Big,1989-06-20,286520,42,0.0303,0.468,0.971,7.02e-05,0.265,-5.289,0.137,112.882,4
TO BE WITH YOU-1Key(原曲歌手: Mr.Big),TO BE WITH YOU(ガイド無しカラオケ)[原曲歌手:Mr.Big],歌っちゃ王,2023-06-29,205185,0,0.181,0.668,0.357,0.856,0.0731,-12.499,0.063,166.008,4
Mr. Big Shot,Mr. Big Shot,Poppa Cannon,2023-04-14,142013,30,0.0589,0.768,0.819,0.0,0.738,-5.685,0.248,139.915,4
TO BE WITH YOU-4Key(原曲歌手: Mr.Big),TO BE WITH YOU(ガイド無しカラオケ)[原曲歌手:Mr.Big],歌っちゃ王,2023-06-29,204973,0,0.154,0.646,0.281,0.808,0.0756,-13.554,0.0405,82.984,4
Just Take My Heart - 2010 Remastered Version,Lean Into It [Expanded],Mr. Big,1991-03-26,265306,49,0.483,0.508,0.362,0.0,0.0996,-9.369,0.0349,168.586,4
TO BE WITH YOU+2Key(原曲歌手: Mr.Big),TO BE WITH YOU(ガイド無しカラオケ)[原曲歌手:Mr.Big],歌っちゃ王,2023-06-29,205104,0,0.135,0.721,0.283,0.9,0.0673,-11.586,0.0381,83.001,4
Green-Tinted Sixties Mind - 2021 Remastered,Lean Into It (30th Anniversary Edition),Mr. Big,1991,210893,45,0.0211,0.437,0.618,0.0,0.316,-10.737,0.0297,106.26,4
TO BE WITH YOU+5Key(原曲歌手: Mr.Big),TO BE WITH YOU(ガイド無しカラオケ)[原曲歌手:Mr.Big],歌っちゃ王,2023-06-29,204920,0,0.169,0.729,0.329,0.899,0.0664,-11.049,0.0414,82.995,4
TO BE WITH YOU+1Key(原曲歌手: Mr.Big),TO BE WITH YOU(ガイド無しカラオケ)[原曲歌手:Mr.Big],歌っちゃ王,2023-06-29,204946,0,0.194,0.734,0.297,0.901,0.0704,-11.954,0.0414,82.969,4
Goin' Where the Wind Blows,Hey Man [Expanded],Mr. Big,1996-03-12,259200,46,0.806,0.696,0.37,0.0,0.156,-8.978,0.03,105.943,4
TO BE WITH YOU(原曲歌手: Mr.Big),TO BE WITH YOU(ガイド無しカラオケ)[原曲歌手:Mr.Big],歌っちゃ王,2023-06-29,205057,0,0.134,0.695,0.348,0.89,0.0702,-11.889,0.0395,165.952,4
Take Cover,Hey Man [Expanded],Mr. Big,1996-03-12,277813,46,0.000272,0.486,0.934,9.92e-05,0.129,-6.069,0.0439,104.799,4
Cherry Waves,Saturday Night Wrist,Deftones,2006-10-25,317706,78,0.000362,0.47,0.859,0.00691,0.142,-3.663,0.0537,124.01,4
Cherry Wine,Cherry Wine,grentperez,2021-09-10,173286,75,0.34,0.74,0.563,0.0,0.0824,-7.016,0.04,104.958,4
Cherry Bomb,The Runaways,The Runaways,1976,138706,72,0.0455,0.501,0.813,4.75e-05,0.131,-8.192,0.0639,136.59,4
Cherry Wine - Live,Hozier (Expanded Edition),Hozier,2014-09-19,240146,70,0.951,0.415,0.11,0.00236,0.0962,-14.901,0.0388,81.876,4
