name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,2023-06-02,231746,92,0.214,0.611,0.483,0.0,0.124,-6.216,0.055,145.983,4
Ella Baila Sola,DESVELADO,Eslabon Armado,2023-04-28,165671,93,0.483,0.668,0.758,1.89e-05,0.0837,-5.176,0.0332,147.989,3
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,2023-06-02,189466,90,0.211,0.775,0.298,0.000233,0.132,-9.351,0.0517,120.091,4
Dial Drunk,Stick Season (We'll All Be Here Forever),Noah Kahan,2023-06-09,213817,87,0.0969,0.693,0.595,0.0,0.113,-7.578,0.0311,112.02,4
El Gordo Trae El Mando,El Gordo Trae El Mando,Chino Pacas,2023-01-27,112087,92,0.179,0.736,0.8,0.0,0.0498,-5.38,0.0525,140.253,3
Mine (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,2023-07-07,231706,86,0.00444,0.646,0.783,1.38e-06,0.171,-2.846,0.0356,121.08,4
I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),Taylor Swift,2023-07-07,273186,86,0.0586,0.694,0.764,0.0,0.0608,-4.893,0.0337,123.044,4
Back To December (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,2023-07-07,294189,86,0.00621,0.497,0.635,0.0,0.117,-3.927,0.0273,142.063,4
Flooded The Face,Pink Tape,Lil Uzi Vert,2023-06-30,192727,87,0.492,0.64,0.609,2.47e-06,0.152,-7.714,0.304,131.889,4
Like Crazy,Like Crazy (Remixes),Jimin,2023-03-26,212241,92,0.0025,0.629,0.733,0.0,0.357,-5.445,0.0419,120.001,4
Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),Taylor Swift,2023-07-07,261230,85,0.0251,0.588,0.758,0.0,0.131,-2.347,0.0305,114.991,4
Enchanted (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,2023-07-07,353253,86,0.012,0.505,0.532,0.0,0.149,-3.526,0.0265,81.907,4
Dear John (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,2023-07-07,405906,85,0.0236,0.419,0.47,0.0,0.163,-5.016,0.0296,119.294,3
Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,2023-07-07,220306,85,0.000886,0.496,0.885,0.0,0.191,-2.969,0.0803,145.863,4
MATHEMATICAL DISRESPECT,MATHEMATICAL DISRESPECT,Lil Mabu,2023-05-05,88304,88,0.0612,0.795,0.507,0.0,0.272,-8.06,0.303,146.771,4
Speak Now (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,2023-07-07,242473,85,0.248,0.727,0.677,0.0,0.143,-2.871,0.0325,118.995,4
Watch This - ARIZONATEARS Pluggnb Remix,Watch This (ARIZONATEARS Pluggnb Remix),Lil Uzi Vert,2023-02-05,163139,89,0.0103,0.686,0.897,0.103,0.153,-7.18,0.0386,129.975,4
Dance The Night (From Barbie The Album),Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,176579,94,0.0207,0.671,0.845,0.0,0.329,-4.93,0.048,110.056,4
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),Taylor Swift,2023-07-07,306062,83,0.362,0.576,0.57,0.0,0.0668,-7.925,0.0434,147.803,4
