name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
No Es Sólo Un Juego - The Official Concacaf Gold Cup 2023[TM] Theme,No Es Sólo Un Juego (The Official Concacaf Gold Cup 2023[TM] Theme),Akon,2023-06-21,167066,58,0.0233,0.712,0.904,0.0,0.349,-2.913,0.0335,124.068,4
Gam Gam - 2023,Gam Gam (2023),Deborah de Luca,2023-03-24,248888,66,0.0249,0.592,0.96,0.858,0.445,-6.969,0.12,135.002,4
Holy Forever - Live From Good Friday 2023,Holy Forever (Live From Good Friday 2023),Chris Tomlin,2023-06-02,389973,51,0.285,0.309,0.709,0.0,0.0864,-5.282,0.0447,143.087,4
Hits from the Bong - DJ Muggs 2023 Remix,Hits from the Bong (DJ Muggs 2023 Remix),Cypress Hill,2023-07-07,179674,48,0.363,0.625,0.901,0.0572,0.61,-7.735,0.265,163.935,4
Down Bad - 2023 Version,Down Bad (Versions),Erin Kaith,2023-06-30,169318,46,0.708,0.475,0.273,1.64e-05,0.329,-12.041,0.0455,131.186,4
20230114,One Wayne G,Mac DeMarco,2023-04-21,141702,48,0.837,0.821,0.194,0.907,0.105,-18.329,0.055,88.029,4
A Cup Of Coffee - Remixed / Remastered 2023,One Of The Boys (15th Anniversary Edition),Katy Perry,2023-06-20,256539,55,0.00165,0.632,0.917,0.0,0.0704,-4.026,0.041,114.985,4
Magrão Subaquático 2023,Magrão Subaquático 2023,DJ NOVATO,2023-01-01,151871,57,0.279,0.71,0.87,0.287,0.327,-4.265,0.0531,130.144,4
Addicted To That Rush - 2023 Remastered,Mr. Big (2023 Remastered),Mr. Big,1989-06-19,285014,50,0.0353,0.493,0.928,1.29e-06,0.496,-9.755,0.101,113.109,4
Dembow 2023 Volumen 1,Dembow 2023 Volumen 1,Tauro.9,2023-04-18,178466,47,0.00755,0.88,0.912,0.359,0.62,-2.526,0.0612,117.071,4
Time - edit - 2023 Master,Time (edit - 2023 Master),Pink Floyd,2023-03-16,213266,47,0.409,0.373,0.431,0.000183,0.0949,-13.838,0.0619,127.065,4
Te Suelto el Pelo 2023,Resistencia,Yandel,2023-01-13,144820,51,0.0201,0.766,0.806,1.76e-06,0.0877,-2.598,0.0431,94.945,4
2023,2023,Bazanji,2022-12-30,111605,48,0.0267,0.756,0.539,0.0,0.102,-7.506,0.17,141.903,4
Not While I'm Around - 2023 Broadway Cast Recording,Not While I'm Around (2023 Broadway Cast Recording),Josh Groban,2023-07-07,206556,45,0.88,0.374,0.177,0.0,0.129,-11.433,0.038,77.333,3
Paradise Is Here - (Sunrise Mix) [2023 Remaster],Paradise Is Here (Sunrise Mix) [2023 Remaster],Cher,2023-07-07,409533,32,0.00148,0.767,0.97,0.409,0.0503,-6.707,0.0511,122.456,4
I've Witnessed It - Live From Passion 2023,I've Witnessed It (Live),Passion,2023-03-10,470046,45,0.0934,0.31,0.606,0.0,0.0574,-7.051,0.0332,171.79,3
